evaluations raw_y
1 23.2375002792
2 20.1964607799
4 14.0041695978
6 11.8469871929
8 10.9157709232
17 8.0495171488
30 4.6291214867
82 5.5094796388
90 4.8067963403
238 4.5242531069
339 3.9149568900
491 3.8234808422
677 3.2695457069
1150 2.6719294258
2448 2.5167112306
2551 2.0734734701
6492 1.9382781399
8786 1.8722435114
13393 1.3683107872
50018 1.3683107872
