evaluations raw_y
1 0.8048937540
2 1.3691128149
3 1.8573551263
7 2.1663778163
469 2.4752475248
2340 2.5987525988
3692 2.6427061311
6413 2.7352297593
8450 2.7839643653
13744 3.0562347188
86520 3.2467532468
283351 3.4626038781
1000000 1.0841283608
