evaluations raw_y
1 0.5538325210
2 0.9881422925
3 1.4585764294
9 1.5923566879
11 1.7146776406
95 1.7337031900
120 2.1968365554
187 2.4366471735
248 2.5987525988
14812 3.0562347188
87023 3.4626038781
1000000 1.2588116818
